ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
5357,D:\Bill_template\TD\阿特拉斯TD20160812175911.jpg,阿特拉斯,,复杂模版,FALSE,FALSE,1,131,53,1042,111,模板特征,,,,,2016/8/16 9:15:34
5358,D:\Bill_template\TD\阿特拉斯TD20160812175911.jpg,阿特拉斯,,复杂模版,FALSE,FALSE,2,1292,74,766,94,模板特征,,,,,2016/8/16 9:15:34
5359,D:\Bill_template\TD\阿特拉斯TD20160812175911.jpg,阿特拉斯,,复杂模版,FALSE,FALSE,3,152,185,132,37,模板特征,,,,,2016/8/16 9:15:34
5360,D:\Bill_template\TD\阿特拉斯TD20160812175911.jpg,阿特拉斯,,复杂模版,FALSE,FALSE,4,123,456,198,46,模板特征,,,,,2016/8/16 9:15:34
