ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
5407,D:\Bill_template\HT\上海锦仓HT20160816132446.jpg,上海锦仓,,复杂模版,FALSE,FALSE,1,967,263,601,90,模板特征,,,,,2016/8/16 13:25:40
5408,D:\Bill_template\HT\上海锦仓HT20160816132446.jpg,上海锦仓,,复杂模版,FALSE,FALSE,2,864,57,798,91,模板特征,,,,,2016/8/16 13:25:40
5409,D:\Bill_template\HT\上海锦仓HT20160816132446.jpg,上海锦仓,,复杂模版,FALSE,FALSE,3,1226,395,111,45,模板特征,,,,,2016/8/16 13:25:40
5410,D:\Bill_template\HT\上海锦仓HT20160816132446.jpg,上海锦仓,,复杂模版,FALSE,FALSE,4,82,2560,2391,523,模板特征,,,,,2016/8/16 13:25:40
